model_key,model_id,model_revision,cluster_id,panel_id,condition,disruption,memory_mode,attempted_updates,valid_after_repair_fraction,belief_minus_to_plus,belief_plus_to_minus,latent_plus_occupancy,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,shuffle_floor_monte_carlo_se,shuffle_floor_mean_mc_ci_low,shuffle_floor_mean_mc_ci_high,adjusted_pathwise_irreversibility_nats_per_update,prompt_tokens,generated_tokens,model_calls,latency_seconds,mean_prompt_tokens,mean_prompt_memory_entries,mean_prompt_memory_characters,message_opportunities,messages_delivered,wire_bytes,privacy_mutations,conditional_memory_depth_1,conditional_memory_depth_2,conditional_memory_depth_3
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,8,8,0.5041666666666667,0.020317796620017863,0.018536178287677608,0.00018983693165023003,0.018164097901643157,0.01890825867371206,0.0017816183323402547,395557,57700,720,3028.7408226775005,549.3847222222222,0.0,0.0,720,720,12960,0,0.014241511565436364,0.011047229143932765,0.002940415438864161
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g3,V15Q_g3_field_markovized,field_markovized,field_reversal,markovized,720,1.0,26,26,0.5013888888888889,0.042419764618262724,0.04869754083474008,0.00029216097843734516,0.048124905317002885,0.049270176352477275,-0.006277776216477356,395931,57869,720,3042.580849009333,549.9041666666667,0.0,0.0,720,720,12960,0,0.029961084139318556,0.013193728834515715,0.0033104018303282213
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g3,V15Q_g3_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,20,20,0.5083333333333333,0.03754123230136029,0.03326506663533286,0.00025905476286401473,0.03275731930011939,0.03377281397054633,0.004276165666027433,435077,57623,720,2970.0352857070975,604.2736111111111,2.8666666666666667,154.80416666666667,720,720,12960,0,0.01909612378504964,0.005677018030981345,0.004488493236124271
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,21,21,0.5027777777777778,0.04069216860717022,0.04669615629940683,0.00028382484336994665,0.04613985960640173,0.047252452992411924,-0.006003987692236611,433577,57707,720,2923.159029166214,602.1902777777777,2.8666666666666667,143.73333333333332,720,720,12960,0,0.0262781441225704,0.005298189507664449,0.00712768070499138
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,5,5,0.5013888888888889,0.018298006140374915,0.013473195520833203,0.00018771792546783727,0.013105268386916242,0.013841122654750165,0.004824810619541712,396015,57676,720,2919.607495709788,550.0208333333334,0.0,0.0,720,720,12960,0,0.011822136841748015,0.00781958283640799,0.0007531889057493167
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g4,V15Q_g4_field_markovized,field_markovized,field_reversal,markovized,720,1.0,24,24,0.49722222222222223,0.04088806712898676,0.04807984268178012,0.00029230408606435856,0.04750692667309398,0.048652758690466265,-0.007191775552793364,396046,57677,720,2913.1873427787796,550.0638888888889,0.0,0.0,720,720,12960,0,0.018536647622497026,0.019289252439653855,0.0012463693751981525
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g4,V15Q_g4_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,21,21,0.5013888888888889,0.04079354208882866,0.026775900081431884,0.00023222669807934884,0.02632073575319636,0.027231064409667407,0.014017642007396778,434897,57396,720,2929.218233066378,604.0236111111111,2.8666666666666667,152.87083333333334,720,720,12960,0,0.01186802314428315,0.0064090974948127774,0.005477605625699843
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,22,22,0.49444444444444446,0.05152965706698454,0.05802685819427623,0.00027564449779778923,0.05748659497859256,0.05856712140995989,-0.006497201127291685,433614,57575,720,2882.715841848636,602.2416666666667,2.8666666666666667,143.59722222222223,720,720,12960,0,0.02118426846368756,0.006796883236857692,0.005132847356347908
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,12,12,0.5041666666666667,0.016059448738005595,0.05861523932034504,0.0003949819864947304,0.05784107462681537,0.059389404013874714,-0.04255579058233945,395662,57908,720,2933.6948424591683,549.5305555555556,0.0,0.0,720,720,12960,0,0.009467528527037502,0.006184703905725648,0.0036718513464739705
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g5,V15Q_g5_field_markovized,field_markovized,field_reversal,markovized,720,1.0,26,26,0.5013888888888889,0.04067046665356926,0.07861061931149906,0.0003288545005270952,0.07796606449046595,0.07925517413253216,-0.0379401526579298,395706,57937,720,2931.6864141609985,549.5916666666667,0.0,0.0,720,720,12960,0,0.029323508977891044,0.0020433143631927997,0.003285220861664925
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g5,V15Q_g5_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,20,20,0.49583333333333335,0.040924542545119055,0.02521250480746238,0.0002373187703448444,0.024747360017586484,0.025677649597338273,0.015712037737656677,434813,57529,720,3024.886142269708,603.9069444444444,2.8666666666666667,155.025,720,720,12960,0,0.01764959011942079,0.002791694181060219,0.0020915114842190944
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,22,22,0.5013888888888889,0.04206556306323333,0.045883222461758744,0.0002768316938587732,0.04534063234179555,0.04642581258172194,-0.003817659398525415,433222,57714,720,2898.222162473714,601.6972222222222,2.8666666666666667,143.87083333333334,720,720,12960,0,0.022791527591513008,0.0018568261925861137,0.0032550849033133595
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,6,3,0.6541666666666667,0.023235686211090224,0.09367699784176704,0.00047559761501939904,0.09274482651632902,0.09460916916720506,-0.07044131163067682,434151,62597,720,4322.2949543586,602.9875,0.0,0.0,720,720,12960,0,0.002805131832500763,0.0045758226077001075,0.00520495055503502
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g0,V15G_g0_field_markovized,field_markovized,field_reversal,markovized,720,1.0,15,12,0.6875,0.058699381543894105,0.24038324258665028,0.0003459154128383573,0.2397052483774871,0.24106123679581345,-0.1816838610427562,434400,62872,720,4338.731319737155,603.3333333333334,0.0,0.0,720,720,12960,0,0.017718546359838234,0.02059291673452015,0.011189265171958689
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g0,V15G_g0_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,7,0,0.8652777777777778,0.026672345591023678,0.1173362581263668,0.0005282609519713719,0.11630086666050292,0.11837164959223069,-0.09066391253534313,480359,63293,720,4351.742327613058,667.1652777777778,2.8666666666666667,149.74166666666667,720,720,12960,0,0.008834776954071626,0.005573677145857283,0.007549333709940622
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g0,V15G_g0_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,0.9972222222222222,23,17,0.8013888888888889,0.043011691648905385,0.2528497106219072,0.00030872230286573617,0.25224461490829037,0.25345480633552403,-0.2098380189730018,477676,63405,722,4362.337773812003,663.4388888888889,2.8666666666666667,144.72083333333333,720,718,12924,0,0.017257138790519853,0.01419275358891996,0.01622416839797853
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g1,V15G_g1_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,1,1,0.4513888888888889,0.008254600529610114,0.016007576400527326,0.0002699531944290996,0.01547846813944629,0.01653668466160836,-0.007752975870917212,433784,62479,721,4299.730397870066,602.4777777777778,0.0,0.0,720,720,12960,0,0.0008299074240150495,0.0011384906359060392,0.002290045274825652
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g1,V15G_g1_field_markovized,field_markovized,field_reversal,markovized,720,1.0,7,11,0.2763888888888889,0.041076124861481926,0.19604104293663357,0.0004706955638604118,0.19511847963146717,0.19696360624179998,-0.15496491807515164,434301,62909,721,4413.219369871076,603.1958333333333,0.0,0.0,720,720,12960,0,0.014125664709703594,0.013520715692261471,0.009097975122063926
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g1,V15G_g1_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,1,8,0.18472222222222223,0.028628333255195065,0.16532963283165594,0.0005016730170257098,0.16434635371828554,0.16631291194502634,-0.13670129957646088,478443,62935,720,4363.767141665798,664.5041666666667,2.8666666666666667,141.72916666666666,720,720,12960,0,0.003240338903209253,0.004218974692561517,0.007214467620124353
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g1,V15G_g1_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,25,29,0.2722222222222222,0.044523924802354384,0.25431431079456673,0.0002764089556236412,0.2537725492415444,0.25485607234758906,-0.20979038599221234,475722,62811,720,4330.4965878610965,660.725,2.8666666666666667,143.55694444444444,720,720,12960,0,0.026442071232954036,0.01792106482493094,0.016008978893736193
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g2,V15G_g2_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,3,2,0.5055555555555555,0.01837446755897039,0.08982585448208932,0.0006215951372635524,0.08860752801305276,0.09104418095112589,-0.07145138692311893,432948,62315,720,4396.641829164233,601.3166666666667,0.0,0.0,720,720,12960,0,0.0011139801869193687,0.006001565524026524,0.0003750009398076103
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g2,V15G_g2_field_markovized,field_markovized,field_reversal,markovized,720,1.0,13,13,0.5986111111111111,0.05907219052663497,0.25329073656278833,0.0002932220711843026,0.2527160213032671,0.2538654518223096,-0.19421854603615335,433273,62609,720,4474.48670819914,601.7680555555555,0.0,0.0,720,720,12960,0,0.021812444733503553,0.011248130296211165,0.010037706938538803
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g2,V15G_g2_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,8,0,0.8902777777777777,0.02114117874676521,0.10153138174656565,0.0004616178088751677,0.10062661084117032,0.10243615265196097,-0.08039020299980043,478676,63093,720,4462.946138917701,664.8277777777778,2.8666666666666667,142.94166666666666,720,720,12960,0,0.003630533437648977,0.0024255891006216283,0.004692891810386279
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g2,V15G_g2_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,27,23,0.7597222222222222,0.05862891739426075,0.25472662391501816,0.0002554498140072361,0.25422594227956397,0.25522730555047235,-0.19609770652075742,475923,63080,720,4445.382159069879,661.0041666666667,2.8666666666666667,144.0013888888889,720,720,12960,0,0.027522451689709758,0.016191012793146074,0.010805628441347031
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g3,V15G_g3_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,2,5,0.3736111111111111,0.016177690997790106,0.09923435051642852,0.0005446575423963256,0.09816682173333173,0.10030187929952532,-0.08305665951863841,433784,62459,720,4417.402762594866,602.4777777777778,0.0,0.0,720,720,12960,0,0.003506834105973949,0.0030010206119472165,0.0016053469327126494
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g3,V15G_g3_field_markovized,field_markovized,field_reversal,markovized,720,1.0,9,10,0.35,0.042227693515283445,0.22896542185437407,0.00041163788802877293,0.22815861159383768,0.22977223211491046,-0.18673772833909064,433901,62688,720,4422.849838629365,602.6402777777778,0.0,0.0,720,720,12960,0,0.011003562927094838,0.008952126676021835,0.008227241045418245
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g3,V15G_g3_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,0,8,0.14583333333333334,0.018979348508552058,0.12233522392504134,0.0005344510114307545,0.12128769994263706,0.12338274790744562,-0.10335587541648929,478834,62987,720,4317.685552305542,665.0472222222222,2.8666666666666667,141.87083333333334,720,720,12960,0,0.0032564409427631624,0.001795073003216906,0.0029778814658103256
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g3,V15G_g3_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,20,25,0.25416666666666665,0.04708523811318736,0.25804581341610205,0.00023923260283885636,0.2575769175145379,0.25851470931766624,-0.2109605753029147,476351,63034,720,4348.152323497692,661.5986111111112,2.8666666666666667,143.51666666666668,720,720,12960,0,0.01120868172786161,0.010528297026281375,0.023824633756825187
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g4,V15G_g4_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,3,4,0.4777777777777778,0.016913040588598747,0.08154247703450912,0.000470623771963861,0.08062005444145995,0.08246489962755829,-0.06462943644591038,434029,62339,720,4333.398855273146,602.8180555555556,0.0,0.0,720,720,12960,0,0.0021971536828459485,0.0036713304464490648,0.003155394272479914
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g4,V15G_g4_field_markovized,field_markovized,field_reversal,markovized,720,1.0,13,11,0.6458333333333334,0.05340945895678815,0.24819676658654083,0.00031153719597902703,0.24758615368242193,0.24880737949065973,-0.1947873076297527,434530,62739,720,4354.957408076618,603.5138888888889,0.0,0.0,720,720,12960,0,0.017595535135904998,0.011521629008973142,0.011265468276520816
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g4,V15G_g4_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,9,1,0.9027777777777778,0.025247163560987423,0.11370712218681532,0.00046573403516955806,0.11279428347788299,0.11461996089574765,-0.0884599586258279,479793,63093,720,4390.7050107936375,666.3791666666667,2.8666666666666667,142.7375,720,720,12960,0,0.005205459287346555,0.005218796342395978,0.00536254371047599
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g4,V15G_g4_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,30,25,0.7416666666666667,0.06848109950644661,0.24809506326070038,0.00031913848093727607,0.24746955183806332,0.24872057468333744,-0.17961396375425376,477336,63087,721,4407.323196593439,662.9666666666667,2.8666666666666667,144.46666666666667,720,720,12960,0,0.030429237646672717,0.020833906397149063,0.020315067557925386
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g5,V15G_g5_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,4,6,0.3972222222222222,0.016901727517970908,0.09836019674180382,0.0005606019464855838,0.09726141692669207,0.09945897655691557,-0.08145846922383292,434171,62398,720,4315.112910538213,603.0152777777778,0.0,0.0,720,720,12960,0,0.0015187509637890639,0.0028635383228223683,0.0021522327546653853
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g5,V15G_g5_field_markovized,field_markovized,field_reversal,markovized,720,1.0,10,15,0.25277777777777777,0.048358011466482186,0.25330699858544564,0.0002778081001433517,0.2527624947091647,0.2538515024617266,-0.20494898711896345,434631,62814,720,4342.276022018632,603.6541666666667,0.0,0.0,720,720,12960,0,0.013405837122885164,0.017337060774437765,0.009259818642013954
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g5,V15G_g5_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,0,8,0.1,0.01967011392177651,0.1673698792120299,0.0006222081534491495,0.16615035123126956,0.16858940719279022,-0.1476997652902534,479714,63088,720,4382.605005159043,666.2694444444444,2.8666666666666667,142.2375,720,720,12960,0,0.004121674264195352,0.004639487063539864,0.0013420203683487102
granite,ibm-granite/granite-3.3-8b-instruct,51dd4bc2ade4059a6bd87649d68aa11e4fb2529b,V15G_g5,V15G_g5_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,24,29,0.2222222222222222,0.05938040420113311,0.24040914369676414,0.0003357668940010648,0.23975104058452204,0.24106724680900624,-0.18102873949563103,476783,62975,720,4505.960675243288,662.1986111111111,2.8666666666666667,143.70277777777778,720,720,12960,0,0.020300983440040107,0.020356146459202577,0.01458737204292544
